nodes,techs,2025,2030,2035,2040,2045,2050
CNOR,bioenergy,1.0,0.9230911607056086,0.0,0.0,0.0,0.0
CNOR,ccgt,1.0,0.9868827856707756,0.8562526250357538,0.5189530990150925,0.1613816723125053,0.01773649986249331
CNOR,coal,1.0,0.9993638806299796,0.9881997567995979,0.9363742341141457,0.8013643241859432,0.5666504238701298
CNOR,geothermal,1.0,0.9999876600895082,0.9969551287679801,0.9262980996558877,0.47066391681848685,0.011782530643756124
CNOR,hydropower,1.0,0.9996057126712287,0.958209912348159,0.5162066602020857,0.009844463396024168,0.0
CNOR,oil,1.0,0.9966689627877635,0.5686197102700812,0.0,0.0,0.0
CNOR,pv,1.0,0.9547952905045173,0.4243228942116404,0.008832324117631915,0.0,0.0
CNOR,waste,1.0,0.2878000497930919,0.0,0.0,0.0,0.0
CNOR,wind,1.0,0.9951401760366472,0.8774544412248922,0.40836520643085517,0.02995324050406502,0.0
CSUD,battery_phs,1.0,0.9999843107793938,0.9989720902794684,0.9881905801677654,0.9348078669303775,0.7717042147905042
CSUD,bioenergy,1.0,0.9964351210462612,0.817344281456249,0.118199218414943,0.0,0.0
CSUD,ccgt,1.0,0.9972968261787333,0.8294676774091236,0.10786065223114985,0.0,0.0
CSUD,coal,1.0,0.9999974677102507,0.9996184719881086,0.9928524586209553,0.9441172915278542,0.7490137626726979
CSUD,hydropower,1.0,0.9999950304797774,0.9996053128236244,0.9949105185377028,0.9691276130923958,0.8796398325088892
CSUD,pv,1.0,0.9976896549199897,0.9075107801848912,0.42166781715885354,0.017042819978429585,0.0
CSUD,waste,1.0,0.015250556566293063,0.0,0.0,0.0,0.0
CSUD,wind,1.0,0.0,0.0,0.0,0.0,0.0
NORD,battery_phs,1.0,0.9993111395369901,0.9909936101171469,0.9600230978067474,0.8880022988665692,0.7617738578161352
NORD,bioenergy,1.0,0.7013095197838742,0.00392069122361382,0.0,0.0,0.0
NORD,ccgt,1.0,0.9965836025944601,0.9000426522599478,0.45765478281299504,0.039132147244857626,0.0
NORD,hydropower,1.0,0.9999997810126537,0.9999726858756747,0.9995404215300118,0.9965988345760858,0.9840181674327835
NORD,pv,1.0,0.9752780534499461,0.7449196105290232,0.2878460692598726,0.03129840320274524,0.0
NORD,waste,1.0,0.039826488318984526,0.0,0.0,0.0,0.0
NORD,wind,1.0,0.0042163605192076115,0.0,0.0,0.0,0.0
SARD,battery_phs,1.0,0.9978958139145495,0.9828282258902761,0.9423242960591846,0.8672485674896201,0.7552882307279438
SARD,bioenergy,1.0,0.9355723322959358,0.02274619957002942,0.0,0.0,0.0
SARD,ccgt,1.0,0.998184732371105,0.7791772444570075,0.011768372853916489,0.0,0.0
SARD,coal,1.0,0.9999950975674521,0.9992752256522069,0.9866101941943074,0.8983209232044298,0.5852932268204881
SARD,hydropower,1.0,0.9953473746266583,0.8784905477479191,0.40427571759718334,0.02735479708785987,0.0
SARD,oil,1.0,0.3949217355593483,0.0,0.0,0.0,0.0
SARD,pv,1.0,0.9509457106362796,0.5188712195039786,0.05247331945192984,0.0,0.0
SARD,waste,1.0,0.6864807609091869,0.005990351486490948,0.0,0.0,0.0
SARD,wind,1.0,0.9490896570993225,0.0,0.0,0.0,0.0
SICI,battery_phs,1.0,0.8027886190054189,0.0,0.0,0.0,0.0
SICI,bioenergy,1.0,0.9862512315733181,0.5267561804591981,0.0023766467773698534,0.0,0.0
SICI,ccgt,1.0,0.7524420229507591,0.056399153064581264,0.0,0.0,0.0
SICI,hydropower,1.0,0.9790925761722771,0.3635443840779024,0.0,0.0,0.0
SICI,oil,1.0,0.9970202474206842,0.8836964260959562,0.3355247457193852,0.005959708989997277,0.0
SICI,pv,1.0,0.9993012157388758,0.9208378653811801,0.2609347449687407,0.0,0.0
SICI,wind,1.0,0.44303219619494844,0.0,0.0,0.0,0.0
SUD,bioenergy,1.0,0.9926598231574001,0.665628523980826,0.014205828254552216,0.0,0.0
SUD,ccgt,1.0,0.17113640755028295,0.0,0.0,0.0,0.0
SUD,coal,1.0,0.9497758783073694,0.6376814931786532,0.20226322946757183,0.019676176120976867,0.0
SUD,hydropower,1.0,0.9996319954202256,0.9956356029623521,0.9815651570880898,0.9493503564964311,0.8910896648437139
SUD,oil,1.0,0.999099132990885,0.9849380938307419,0.9238897722460906,0.7744856975431799,0.5303245850479436
SUD,pv,1.0,0.5732766528142317,0.0,0.0,0.0,0.0
SUD,waste,1.0,0.9959374213538852,0.8590642431358507,0.2830566717909646,0.0034517744194023756,0.0
SUD,wind,1.0,0.9955007781257109,0.767925833276742,0.05752790771400865,0.0,0.0
